object_id,mission,period_days,duration_hours,depth_ppm,planet_radius_rearth,score,label,label_raw,duty_cycle,transit_frequency,planet_radius_from_depth,mission_encoded
K03989.01,kepler,1.204529346,1.62,86.9,1.4,0.001,fp,FALSE POSITIVE,0.05603848525912129,0.8301997816166117,0.009322016949137134,0
K03990.01,kepler,2.15839583,8.09,352.2,14.28,0.0,fp,FALSE POSITIVE,0.15617308403219687,0.4633070478087423,0.018766992300312802,0
K03991.01,kepler,1.570592397,0.623,214.4,1.37,1.0,candidate,CANDIDATE,0.016527733982996822,0.6367024327318197,0.014642404174178501,0
K07841.01,kepler,371.1495,15.855,597.3,2.07,0.0,fp,FALSE POSITIVE,0.0017799431226500375,0.002694332068344427,0.024439721766010346,0
K01635.01,kepler,3.374684854,4.48335,80917.0,49.25,0.0,fp,FALSE POSITIVE,0.05535516887705213,0.29632396601854666,0.2844591359053177,0
K01636.01,kepler,2.61841046,3.304,180.2,1.12,0.0,fp,FALSE POSITIVE,0.05257642709946501,0.38191109273219137,0.013423859355639866,0
K01638.01,kepler,4.593594819,2.6391,1455.2,8.85,0.0,fp,FALSE POSITIVE,0.02393822362067585,0.21769442874321565,0.038147083767963184,0
K01639.01,kepler,125.0426,8.99,104.3,1.2,,fp,FALSE POSITIVE,0.0029956457505948644,0.007997274528840572,0.010212737145349428,0
K01640.01,kepler,6.17039154,2.116,502.9,2.17,,fp,FALSE POSITIVE,0.014288666463889692,0.16206426991179235,0.022425431991379786,0
K01642.01,kepler,0.364860478,1.4736,112.6,0.68,0.0,fp,FALSE POSITIVE,0.16828350479768872,2.740773693773432,0.010611314715905847,0
K01947.01,kepler,6.422943288,1.0815,261.4,1.66,1.0,candidate,CANDIDATE,0.007015864531170681,0.1556918619954659,0.016167869371070513,0
K01983.01,kepler,6.90522317,3.533,420.3,4.54,0.008,fp,FALSE POSITIVE,0.021318403433054186,0.14481791180110404,0.020501219475923867,0
K02041.01,kepler,1.5259105,3.114,83.9,2.63,0.0,fp,FALSE POSITIVE,0.08503119940520758,0.6553464308686519,0.00915969431804359,0
K02139.01,kepler,4.27121961,2.9283,966.7,2.17,0.0,fp,FALSE POSITIVE,0.028566196810470252,0.2341251659499662,0.031091799561942374,0
K02141.01,kepler,1.306984786,1.194,302.1,18.33,0.087,candidate,CANDIDATE,0.03806471240744803,0.76511984738589,0.01738102413553356,0
K07819.01,kepler,0.769358923,1.5364,44.8,1.93,0.0,fp,FALSE POSITIVE,0.0832078042547986,1.2997834562061745,0.006693280212272604,0
K02591.01,kepler,0.755109106,2.967,106.0,0.85,0.0,fp,FALSE POSITIVE,0.1637180627510536,1.3243119332744477,0.010295630140987,0
K02599.01,kepler,25.3239215,70.405,1379.7,19.02,0.0,fp,FALSE POSITIVE,0.11584073448761348,0.0394883549137522,0.03714431315827498,0
K02612.01,kepler,4.61225043,2.695,29.1,0.51,0.856,planet,CONFIRMED,0.02434639410216645,0.2168138992400723,0.005394441583704471,0
K02614.01,kepler,7.99022379,3.273,165.9,1.97,0.999,planet,CONFIRMED,0.0170677322167969,0.1251529401781624,0.01288021738946979,0
K02630.01,kepler,4.1749166,4.828,40.7,0.61,,fp,FALSE POSITIVE,0.048184595272314334,0.239525742861546,0.006379655163094632,0
K07830.01,kepler,0.56678694,1.959,61.2,0.63,0.0,fp,FALSE POSITIVE,0.1440135511943871,1.7643314082007606,0.007823042886243178,0
K03992.01,kepler,0.73094701,4.223,227.7,15.83,0.0,fp,FALSE POSITIVE,0.24072652453059948,1.368088228447641,0.01508973160795115,0
K03993.01,kepler,0.686994057,3.5252,2797.1,35.3,0.0,fp,FALSE POSITIVE,0.21380582821160174,1.4556166677290483,0.05288761669805135,0
K03994.01,kepler,1.324247867,1.4759,83.3,1.3,0.0,fp,FALSE POSITIVE,0.04643831027845887,0.7551456377010725,0.009126883367283707,0
K03995.01,kepler,0.780632043,1.4109,736.5,79.67,0.0,fp,FALSE POSITIVE,0.07530756715299221,1.2810132622239796,0.027138533490223823,0
K03996.01,kepler,0.730947169,4.396,248.0,14.43,0.0,fp,FALSE POSITIVE,0.2505881060012241,1.3680879308529068,0.015748015748023623,0
K01645.01,kepler,41.16676097,2.2133,5386.3,17.82,0.0,fp,FALSE POSITIVE,0.00224017705450615,0.02429144232961984,0.073391416391837,0
K01652.01,kepler,1.083736642,1.57912,8930.8,237.84,0.0,fp,FALSE POSITIVE,0.060712782161947663,0.922733403342839,0.09450291000810504,0
K01653.01,kepler,2.45570369,3.1,273.8,55.95,0.002,fp,FALSE POSITIVE,0.05259863687653076,0.4072152532376575,0.016546903033498442,0
K01735.01,kepler,0.64234875,1.3699,103.7,2.78,0.0,fp,FALSE POSITIVE,0.08886008833467281,1.5567867143821794,0.010183319694480773,0
K01729.01,kepler,5.204286663,6.2598,35221.0,16.0,0.921,fp,FALSE POSITIVE,0.05011733920314989,0.1921492924495347,0.1876725872363889,0
K01730.01,kepler,6.352090869,3.88771,75142.0,18.9,0.0,fp,FALSE POSITIVE,0.02550151123580639,0.1574284783739922,0.2741204114983049,0
K02142.01,kepler,1.877350712,1.7478,185.6,1.46,0.0,fp,FALSE POSITIVE,0.03879136675662337,0.5326655236062254,0.013623509092741121,0
K02157.01,kepler,2.11552348,6.712,359.2,21.43,0.0,fp,FALSE POSITIVE,0.13219738249686866,0.4726962425394589,0.018952572384771414,0
K02161.01,kepler,2.84573962,7.28,211.7,3.63,0.0,fp,FALSE POSITIVE,0.10659208987410217,0.3514024940904467,0.014549914089093447,0
K02165.01,kepler,7.01476115,3.945,122.1,1.02,0.0,fp,FALSE POSITIVE,0.023432729423723854,0.14255652881352918,0.011049886877249015,0
K02170.01,kepler,0.941603153,1.1886,462.1,2.29,0.0,fp,FALSE POSITIVE,0.052596467887995706,1.0620185338313115,0.021496511344867103,0
K02176.01,kepler,24.40213373,12.57,,,,fp,FALSE POSITIVE,0.021463287013959005,0.04098002293834655,,0
K07821.01,kepler,1.13357304,2.849,33.1,0.59,0.0,fp,FALSE POSITIVE,0.10472049805748146,0.8821663578025816,0.00575325994545701,0
K02772.01,kepler,0.643468999,1.1108,108.0,0.88,0.0,fp,FALSE POSITIVE,0.07192783709123698,1.5540764225690382,0.010392304845413263,0
K02782.01,kepler,112.645961,7.037,1957.9,35.36,0.0,fp,FALSE POSITIVE,0.0026029191879621263,0.008877371111424049,0.04424816380371055,0
K02783.01,kepler,0.526887517,0.8971,119.9,0.58,1.0,fp,FALSE POSITIVE,0.07094335215891377,1.8979383032147257,0.01094988584415381,0
K02784.01,kepler,4.14244748,2.203,69.9,1.82,0.0,fp,FALSE POSITIVE,0.02215880034927242,0.24140318129030328,0.008360621986431392,0
K02788.01,kepler,0.777663575,1.1741,134.3,0.95,0.0,fp,FALSE POSITIVE,0.06290745112156414,1.2859030976216161,0.011588787684654508,0
K03997.01,kepler,0.552834211,1.2887,145.7,18.09,0.0,fp,FALSE POSITIVE,0.09712827510476434,1.808860559101687,0.012070625501605125,0
K03998.01,kepler,0.758354475,4.56811,581780.0,149.44,0.0,fp,FALSE POSITIVE,0.2509880576186574,1.3186445560303446,0.7627450425928706,0
K02167.03,kepler,76.5369531,5.574,652.2,3.73,0.998,planet,CONFIRMED,0.003034481914854277,0.013065584132849415,0.025538206671573478,0
K03999.01,kepler,3.43525124,4.509,152.2,25.43,0.0,fp,FALSE POSITIVE,0.05469032302860038,0.2910995237716587,0.012336936410632908,0
K04000.01,kepler,0.962828092,4.411,63.0,40.82,0.0,fp,FALSE POSITIVE,0.19088731227699438,1.0386070040008761,0.007937253933193772,0
K07842.01,kepler,3.11141514,3.074,28.4,0.7,0.999,candidate,CANDIDATE,0.04116562000573582,0.32139716334992185,0.005329165037789691,0
K01734.01,kepler,1.878156188,2.058,787.5,2.51,0.0,fp,FALSE POSITIVE,0.04565647976876351,0.5324370818514695,0.02806243040080456,0
K01987.01,kepler,7.81153999,5.984,912.8,23.56,0.0,fp,FALSE POSITIVE,0.031918588863722036,0.12801573073685307,0.03021258016125071,0
K01949.01,kepler,0.993488979,1.9694,24327.0,17.9,0.349,fp,FALSE POSITIVE,0.08259611839471984,1.0065536922277223,0.1559711511786715,0
K01759.01,kepler,1.334104585,3.14624,61691.0,44.9,0.0,fp,FALSE POSITIVE,0.09826316078010733,0.7495664217359691,0.24837672998894242,0
K01994.01,kepler,2.115498574,6.738,444.2,25.84,0.0,fp,FALSE POSITIVE,0.1327110324963046,0.4727018076448961,0.021076052761368768,0
K07812.01,kepler,3.40076682,4.7,21.1,0.69,0.0,fp,FALSE POSITIVE,0.05758505175410213,0.29405132810605344,0.0045934736311423405,0
K02178.01,kepler,6.49676881,2.527,135.0,3.74,0.0,fp,FALSE POSITIVE,0.016206774436024092,0.15392266975250424,0.01161895003862225,0
K02184.01,kepler,2.057499811,2.569,325.6,1.27,0.001,fp,FALSE POSITIVE,0.05202511616010382,0.4860267761161899,0.018044389709823937,0
K02187.01,kepler,10.5856758,4.911,178.7,1.49,0.0,fp,FALSE POSITIVE,0.019330367174101436,0.09446728002004369,0.013367871932360812,0
K02188.01,kepler,2.69633621,5.238,238.6,15.78,0.0,fp,FALSE POSITIVE,0.08094316991722632,0.3708736307776692,0.015446682491719703,0
K02190.01,kepler,11.2580745,23.516,713.3,2.14,0.0,fp,FALSE POSITIVE,0.08703382921594037,0.08882513612785206,0.02670767679900294,0
K07822.01,kepler,0.566795586,4.124,39.4,0.66,0.0,fp,FALSE POSITIVE,0.30316632235264673,1.7643044947777697,0.006276941930590086,0
K02847.01,kepler,1.099291188,1.765,282.6,1.37,0.0,fp,FALSE POSITIVE,0.06689916872750067,0.9096770818470347,0.01681071087134628,0
K02858.01,kepler,0.47462889,1.0194,331.3,1.43,0.0,fp,FALSE POSITIVE,0.08949097051382607,2.1069092528269824,0.01820164827701052,0
K02860.01,kepler,103.4269873,5.03,950.1,3.16,1.0,planet,CONFIRMED,0.0020263892317139297,0.009668656373982964,0.03082369218636859,0
K02874.01,kepler,0.352515897,1.0525,168.2,1.0,0.989,candidate,CANDIDATE,0.12440337312409676,2.8367515011670523,0.01296919426949878,0
K02875.01,kepler,0.299697755,0.8473,346.9,2.03,0.0,fp,FALSE POSITIVE,0.1177992363228302,3.3366949979321667,0.01862525167615192,0
K02879.01,kepler,0.339069751,1.1516,53.2,2.09,0.0,candidate,CANDIDATE,0.1415146387780647,2.9492456848502537,0.007293833011524188,0
K07831.01,kepler,0.56681727,1.779,35.9,0.42,0.0,fp,FALSE POSITIVE,0.1307740676285322,1.764237000047652,0.005991660871578096,0
